Province_State,Admin2,Date,Value
Illinois,Will,2021-07-12,77220
Illinois,Will,2021-07-13,77234
Illinois,Will,2021-07-14,77249
Illinois,Will,2021-07-15,77296
Illinois,Will,2021-07-16,77320
Illinois,Will,2021-07-17,77320
Illinois,Will,2021-07-18,77320
Illinois,Will,2021-07-19,77454
Illinois,Will,2021-07-20,77483
Illinois,Will,2021-07-21,77522
Illinois,Will,2021-07-22,77623
Illinois,Will,2021-07-23,77713
Illinois,Will,2021-07-24,77713
Illinois,Will,2021-07-25,77713
Illinois,Will,2021-07-26,77903
Illinois,Will,2021-07-27,77984
Illinois,Will,2021-07-28,78125
Illinois,Will,2021-07-29,78210
Illinois,Will,2021-07-30,78328
Illinois,Will,2021-07-31,78328
Illinois,Will,2021-08-01,78328
Illinois,Will,2021-08-02,78643
Illinois,Will,2021-08-03,78814
Illinois,Will,2021-08-04,78963
Illinois,Will,2021-08-05,79119
Illinois,Will,2021-08-06,79275
Illinois,Will,2021-08-07,79275
Illinois,Will,2021-08-08,79275
Illinois,Will,2021-08-09,79723
Illinois,Will,2021-08-10,79892
Illinois,Will,2021-08-11,80080
Illinois,Will,2021-08-12,80221
Illinois,Will,2021-08-13,80401
Illinois,Will,2021-08-14,80401
Illinois,Will,2021-08-15,80401
Illinois,Will,2021-08-16,80864
Illinois,Will,2021-08-17,81033
Illinois,Will,2021-08-18,81220
Illinois,Will,2021-08-19,81365
Illinois,Will,2021-08-20,81616
Illinois,Will,2021-08-21,81616
Illinois,Will,2021-08-22,81616
Illinois,Will,2021-08-23,82020
Illinois,Will,2021-08-24,82191
Illinois,Will,2021-08-25,82418
Illinois,Will,2021-08-26,82588
Illinois,Will,2021-08-27,82813
Illinois,Will,2021-08-28,82813
Illinois,Will,2021-08-29,82813
Illinois,Will,2021-08-30,83247
Illinois,Will,2021-08-31,83451
Illinois,Will,2021-09-01,83684
Illinois,Will,2021-09-02,83855
Illinois,Will,2021-09-03,84129
Illinois,Will,2021-09-04,84129
Illinois,Will,2021-09-05,84129
Illinois,Will,2021-09-06,84129
Illinois,Will,2021-09-07,84759
Illinois,Will,2021-09-08,84932
Illinois,Will,2021-09-09,85161
Illinois,Will,2021-09-10,85397
Illinois,Will,2021-09-11,85397
Illinois,Will,2021-09-12,85397
Illinois,Will,2021-09-13,85810
Illinois,Will,2021-09-14,86066
Illinois,Will,2021-09-15,86210
Illinois,Will,2021-09-16,86407
Illinois,Will,2021-09-17,86580
Illinois,Will,2021-09-18,86580
Illinois,Will,2021-09-19,86580
Illinois,Will,2021-09-20,86981
Illinois,Will,2021-09-21,87115
Illinois,Will,2021-09-22,87312
Illinois,Will,2021-09-23,87462
Illinois,Will,2021-09-24,87656
Illinois,Will,2021-09-25,87656
Illinois,Will,2021-09-26,87656
Illinois,Will,2021-09-27,88020
Illinois,Will,2021-09-28,88118
Illinois,Will,2021-09-29,88275
Illinois,Will,2021-09-30,88467
Illinois,Will,2021-10-01,88614
